Player,Color
Troy Terry,#F47A38
Alex Killorn,#F47A38
Ryan Strome,#F47A38
Frank Vatrano,#F47A38
Ross Johnston,#F47A38
Cutter Gauthier,#F47A38
Leo Carlsson,#F47A38
Mason McTavish,#F47A38
Nikita Nesterenko,#F47A38
Jansen Harkins,#F47A38
Jacob Trouba,#F47A38
Radko Gudas,#F47A38
Jackson LaCombe,#F47A38
Drew Helleson,#F47A38
Pavel Mintyukov,#F47A38
Olen Zellweger,#F47A38
Lukas Dostal,#F47A38
Beckett Sennecke,#F47A38
Sam Colangelo,#F47A38
Nico Myatovic,#F47A38
Nathan Gaucher,#F47A38
Yegor Sidorov,#F47A38
Coulson Pitre,#F47A38
Jaxsen Wiebe,#F47A38
Judd Caulfield,#F47A38
Jan Mysak,#F47A38
Sasha Pastujov,#F47A38
Stian Solberg,#F47A38
Rodwin Dionicio,#F47A38
Tristan Luneau,#F47A38
Noah Warren,#F47A38
Tyson Hinds,#F47A38
Jeremie Biakabutuka,#F47A38
Calle Clang,#F47A38
Damian Clara,#F47A38
Tomas Suchanek,#F47A38
Vyacheslav Buteyets,#F47A38
Artyom Galimov,#F47A38
Ethan Bowen,#F47A38
Kyle Kukkonen,#F47A38
Michael Callow,#F47A38
Maxim Masse,#F47A38
Ethan Procyszyn,#F47A38
Lucas Pettersson,#F47A38
Alexandre Blais,#F47A38
Austin Burnevik,#F47A38
William Francis,#F47A38
Ian Moore,#F47A38
Konnor Smith,#F47A38
Tarin Smith,#F47A38
Darels Uljanskis,#F47A38
Petr Mrazek,#F47A38
Ville Husso,#F47A38
Mikael Granlund,#F47A38
Chris Kreider,#F47A38
Ryan Poehling,#F47A38
Herman Traff,#F47A38
Tim Washe,#F47A38
Eric Nilson,#F47A38
Lasse Boelius,#F47A38
Drew Schock,#F47A38
Elijah Neuenschwander,#F47A38
Emile Guite,#F47A38
JJ Peterka,#6CACE3
Kevin Rooney,#6CACE3
Olli Maatta,#6CACE3
Scott Perunovich,#6CACE3
Vitek Vanecek,#6CACE3
Nate Schmidt,#6CACE3
Kevin Stenlund,#6CACE3
Logan Cooley,#6CACE3
John Marino,#6CACE3
Nick DeSimone,#6CACE3
Jaxson Stauber,#6CACE3
Juuso Valimaki,#6CACE3
Brandon Tanev,#6CACE3
Kailer Yamamoto,#6CACE3
Sean Durzi,#6CACE3
Mikhail Sergachev,#6CACE3
Michael Carcone,#6CACE3
Ian Cole,#6CACE3
Lawson Crouse,#6CACE3
Dylan Guenther,#6CACE3
Barrett Hayton,#6CACE3
Clayton Keller,#6CACE3
Alexander Kerfoot,#6CACE3
Maveric Lamoureux,#6CACE3
Jack McBain,#6CACE3
Liam O'Brien,#6CACE3
Nick Schmaltz,#6CACE3
Karel Vejmelka,#6CACE3
Maksymilian Szuber,#6CACE3
Matt Villalta,#6CACE3
Cameron Hebig,#6CACE3
Andrew Agozzino,#6CACE3
Ben McCartney,#6CACE3
Kevin Connauton,#6CACE3
Tomas Lavoie,#6CACE3
Noel Nordh,#6CACE3
Owen Allard,#6CACE3
Michal Kunc,#6CACE3
Dmitri Simashev,#6CACE3
Daniil But,#6CACE3
Gabe Smith,#6CACE3
Ales Cech,#6CACE3
Ludvig Lafton,#6CACE3
Cole Beaudoin,#6CACE3
Will Skahan,#6CACE3
Veeti Vaisanen,#6CACE3
Gregor Biber,#6CACE3
Samu Bau,#6CACE3
Tanner Ludtke,#6CACE3
Vadim Moroz,#6CACE3
Artem Duda,#6CACE3
Julian Lutz,#6CACE3
Montana Unyebuchi,#6CACE3
Reko Alanko,#6CACE3
Samuel Lipkin,#6CACE3
Tij Iginla,#6CACE3
Miko Matikka,#6CACE3
Terrell Goldsmith,#6CACE3
Anson Thornton,#6CACE3
David Pastrnak,#ffb81c
Elias Lindholm,#ffb81c
Pavel Zacha,#ffb81c
Morgan Geekie,#ffb81c
John Beecher,#ffb81c
Mark Kastelic,#ffb81c
Charlie McAvoy,#ffb81c
Hampus Lindholm,#ffb81c
Nikita Zadorov,#ffb81c
Andrew Peeke,#ffb81c
Mason Lohrei,#ffb81c
Jeremy Swayman,#ffb81c
Joonas Korpisalo,#ffb81c
Georgii Merkulov,#ffb81c
John Farinacci,#ffb81c
Matthew Poitras,#ffb81c
Jaxon Nelson,#ffb81c
Trevor Kuntar,#ffb81c
Riley Duran,#ffb81c
Fabian Lysell,#ffb81c
Brett Harrison,#ffb81c
Patrick Brown,#ffb81c
Riley Tufte,#ffb81c
Jeffrey Viel,#ffb81c
Frederic Brunet,#ffb81c
Loke Johansson,#ffb81c
Jackson Edward,#ffb81c
Michael Callahan,#ffb81c
Billy Sweezey,#ffb81c
Michael DiPietro,#ffb81c
Oskar Jellvik,#ffb81c
Andre Gasseau,#ffb81c
Cole Spicer,#ffb81c
Dans Locmelis,#ffb81c
Christopher Pelosi,#ffb81c
Beckett Hendrickson,#ffb81c
Ryan Walsh,#ffb81c
Casper Nassen,#ffb81c
Dean Letourneau,#ffb81c
Jonathan Morello,#ffb81c
Roman Bychkov,#ffb81c
Mason Langenbrunner,#ffb81c
Ty Gallagher,#ffb81c
Kristian Kostadinski,#ffb81c
